"","location","geo","year","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred"
"27067","High income","OWID_HIC",2020,2020-12-01,0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"27068","High income","OWID_HIC",2020,2020-12-02,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0
"27069","High income","OWID_HIC",2020,2020-12-03,0,1,NA,NA,0,0,0,0,NA,NA,0,0,0
"27070","High income","OWID_HIC",2020,2020-12-04,1,2,NA,NA,1,0,0,0,NA,NA,0,0,0
"27071","High income","OWID_HIC",2020,2020-12-05,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0
"27072","High income","OWID_HIC",2020,2020-12-06,1,2,NA,NA,0,0,0,0,NA,NA,0,0,0
"27073","High income","OWID_HIC",2020,2020-12-07,2,3,NA,NA,1,0,0,0,NA,NA,0,0,0
"27074","High income","OWID_HIC",2020,2020-12-08,7,9,NA,NA,5,1,0,0,NA,NA,0,1,0
"27075","High income","OWID_HIC",2020,2020-12-09,9,11,NA,NA,2,1,0,0,NA,NA,0,1,0
"27076","High income","OWID_HIC",2020,2020-12-10,10,12,NA,NA,1,1,0,0,NA,NA,0,2,0
"27077","High income","OWID_HIC",2020,2020-12-11,14,16,NA,NA,4,2,0,0,NA,NA,0,2,0
"27078","High income","OWID_HIC",2020,2020-12-12,14,16,NA,NA,0,2,0,0,NA,NA,0,2,0
"27079","High income","OWID_HIC",2020,2020-12-13,24071,20379,4323,NA,24057,3439,0,0,0,NA,3,2911,0
"27080","High income","OWID_HIC",2020,2020-12-14,28499,24668,4422,NA,4428,4071,0,0,0,NA,3,3524,0
"27081","High income","OWID_HIC",2020,2020-12-15,80042,73988,4646,NA,51543,11434,0.01,0.01,0,NA,9,10568,0.001
"27082","High income","OWID_HIC",2020,2020-12-16,243741,232229,5064,NA,163699,34819,0.02,0.02,0,NA,29,33174,0.003
"27083","High income","OWID_HIC",2020,2020-12-17,521648,503092,5684,NA,277907,74520,0.04,0.04,0,NA,61,71869,0.006
"27084","High income","OWID_HIC",2020,2020-12-18,942443,915073,6725,NA,420795,134633,0.08,0.08,0,NA,111,130722,0.011
"27085","High income","OWID_HIC",2020,2020-12-19,1125567,1094198,7718,NA,183124,160793,0.09,0.09,0,NA,132,156312,0.013
"27086","High income","OWID_HIC",2020,2020-12-20,1238602,1205290,8410,NA,113035,173504,0.1,0.1,0,NA,143,169273,0.014
"27087","High income","OWID_HIC",2020,2020-12-21,1653253,1613429,9568,NA,414651,232108,0.14,0.13,0,NA,191,226966,0.019
"27088","High income","OWID_HIC",2020,2020-12-22,2154121,2105787,11983,NA,500868,296297,0.18,0.17,0,NA,244,290257,0.024
"27089","High income","OWID_HIC",2020,2020-12-23,2845285,2784802,14241,NA,691164,371649,0.23,0.23,0,NA,306,364653,0.03
"27090","High income","OWID_HIC",2020,2020-12-24,3138575,3073035,15233,NA,293290,373847,0.26,0.25,0,NA,308,367135,0.03
"27091","High income","OWID_HIC",2020,2020-12-25,3198010,3132328,15326,NA,59435,322224,0.26,0.26,0,NA,265,316751,0.026
"27092","High income","OWID_HIC",2020,2020-12-26,3377973,3308666,16038,NA,179963,321772,0.28,0.27,0,NA,265,316353,0.026
"27093","High income","OWID_HIC",2020,2020-12-27,3633982,3567408,16686,NA,256009,342197,0.3,0.29,0,NA,282,337445,0.028
"27094","High income","OWID_HIC",2020,2020-12-28,4410499,4329097,19951,NA,776517,393892,0.36,0.36,0,NA,324,387953,0.032
"27095","High income","OWID_HIC",2020,2020-12-29,5387082,5295709,25004,1,976583,461852,0.44,0.44,0,0,380,455703,0.038
"27096","High income","OWID_HIC",2020,2020-12-30,6537026,6438571,31079,1,1149944,527392,0.54,0.53,0,0,434,521967,0.043
"27097","High income","OWID_HIC",2020,2020-12-31,7227588,7125445,33897,1,690562,584145,0.59,0.59,0,0,481,578916,0.048
"27098","High income","OWID_HIC",2021,2021-01-01,7435148,7327752,39653,3,207560,605305,0.61,0.6,0,0,498,599346,0.049
"27099","High income","OWID_HIC",2021,2021-01-02,7869664,7761163,42455,3,434516,641670,0.65,0.64,0,0,528,636071,0.052
"27100","High income","OWID_HIC",2021,2021-01-03,8232145,8121748,44812,5,362481,656880,0.68,0.67,0,0,541,650620,0.054
"27101","High income","OWID_HIC",2021,2021-01-04,9328377,9161508,89988,5,1096232,702554,0.77,0.75,0.01,0,578,690344,0.057
"27102","High income","OWID_HIC",2021,2021-01-05,11425252,10343497,177967,5,2096875,862596,0.94,0.85,0.01,0,710,721113,0.059
"27103","High income","OWID_HIC",2021,2021-01-06,12957088,11562909,352682,5,1531836,917152,1.07,0.95,0.03,0,755,732048,0.06
"27104","High income","OWID_HIC",2021,2021-01-07,14714409,12970123,634343,5,1757321,1069546,1.21,1.07,0.05,0,880,834954,0.069
"27105","High income","OWID_HIC",2021,2021-01-08,16495041,14314332,998028,6,1780632,1294270,1.36,1.18,0.08,0,1065,998083,0.082
"27106","High income","OWID_HIC",2021,2021-01-09,17440044,15002032,1127935,7,945003,1367197,1.44,1.23,0.09,0,1125,1034410,0.085
"27107","High income","OWID_HIC",2021,2021-01-10,20630212,18491661,1844142,7,3190168,1771152,1.7,1.52,0.15,0,1458,1481416,0.122
"27108","High income","OWID_HIC",2021,2021-01-11,22472087,19867862,2205723,8,1841875,1877673,1.85,1.64,0.18,0,1545,1529479,0.126
"27109","High income","OWID_HIC",2021,2021-01-12,24628729,21522249,2573164,31,2156642,1886211,2.03,1.77,0.21,0,1553,1596965,0.131
"27110","High income","OWID_HIC",2021,2021-01-13,27061831,23482720,2920334,31,2433102,2014963,2.23,1.93,0.24,0,1659,1702830,0.14
"27111","High income","OWID_HIC",2021,2021-01-14,29541540,25614070,3138171,33,2479709,2118162,2.43,2.11,0.26,0,1743,1806278,0.149
"27112","High income","OWID_HIC",2021,2021-01-15,31902766,27678596,3305074,33,2361226,2201104,2.63,2.28,0.27,0,1812,1909181,0.157
"27113","High income","OWID_HIC",2021,2021-01-16,33450873,28882680,3407687,33,1548107,2287261,2.75,2.38,0.28,0,1883,1982950,0.163
"27114","High income","OWID_HIC",2021,2021-01-17,34545212,29736132,3563582,34,1094339,1987857,2.84,2.45,0.29,0,1636,1606353,0.132
"27115","High income","OWID_HIC",2021,2021-01-18,36559606,31257465,3954689,35,2014394,2012503,3.01,2.57,0.33,0,1656,1627086,0.134
"27116","High income","OWID_HIC",2021,2021-01-19,39177069,33179894,4530070,36,2617463,2078334,3.22,2.73,0.37,0,1711,1665378,0.137
"27117","High income","OWID_HIC",2021,2021-01-20,42103160,35297082,5217949,39,2926091,2148761,3.47,2.91,0.43,0,1769,1687766,0.139
"27118","High income","OWID_HIC",2021,2021-01-21,45133282,37640812,5791857,40,3030122,2227392,3.71,3.1,0.48,0,1833,1718106,0.141
"27119","High income","OWID_HIC",2021,2021-01-22,48071429,40075010,6166466,40,2938147,2309809,3.96,3.3,0.51,0,1901,1770916,0.146
"27120","High income","OWID_HIC",2021,2021-01-23,50130557,41634656,6473688,41,2059128,2382812,4.13,3.43,0.53,0,1961,1821711,0.15
"27121","High income","OWID_HIC",2021,2021-01-24,51407174,42514488,6808197,41,1276617,2408852,4.23,3.5,0.56,0,1983,1825479,0.15
"27122","High income","OWID_HIC",2021,2021-01-25,53860023,44030147,7650702,42,2452849,2471488,4.43,3.62,0.63,0,2034,1824669,0.15
"27123","High income","OWID_HIC",2021,2021-01-26,56815494,45859426,8621586,45,2955471,2519775,4.68,3.77,0.71,0,2074,1811362,0.149
"27124","High income","OWID_HIC",2021,2021-01-27,60041688,47941074,9629832,45,3226194,2562647,4.94,3.95,0.79,0,2109,1806285,0.149
"27125","High income","OWID_HIC",2021,2021-01-28,63511652,50199276,10639991,45,3469964,2625481,5.23,4.13,0.88,0,2161,1794066,0.148
"27126","High income","OWID_HIC",2021,2021-01-29,66766770,52401729,11490236,45,3255118,2670763,5.5,4.31,0.95,0,2198,1760960,0.145
"27127","High income","OWID_HIC",2021,2021-01-30,69165440,54165231,12023433,45,2398670,2719269,5.69,4.46,0.99,0,2238,1790082,0.147
"27128","High income","OWID_HIC",2021,2021-01-31,70817364,55142695,12479859,45,1651924,2772884,5.83,4.54,1.03,0,2282,1804030,0.148
"27129","High income","OWID_HIC",2021,2021-02-01,73339386,56582111,13428754,46,2522022,2782766,6.04,4.66,1.11,0,2290,1793138,0.148
"27130","High income","OWID_HIC",2021,2021-02-02,76377409,58321445,14567151,74,3038023,2794559,6.29,4.8,1.2,0,2300,1780288,0.147
"27131","High income","OWID_HIC",2021,2021-02-03,80222690,60615329,15945447,74,3845281,2883000,6.6,4.99,1.31,0,2373,1810608,0.149
"27132","High income","OWID_HIC",2021,2021-02-04,84411902,63104229,17448723,75,4189212,2985750,6.95,5.19,1.44,0,2458,1843565,0.152
"27133","High income","OWID_HIC",2021,2021-02-05,88339630,65458429,18828023,77,3927728,3081837,7.27,5.39,1.55,0,2537,1865243,0.154
"27134","High income","OWID_HIC",2021,2021-02-06,91031677,67259059,19506595,79,2692047,3123748,7.49,5.54,1.61,0,2571,1870547,0.154
"27135","High income","OWID_HIC",2021,2021-02-07,92446490,68040185,20028146,79,1414813,3089875,7.61,5.6,1.65,0,2543,1842499,0.152
"27136","High income","OWID_HIC",2021,2021-02-08,95304248,69730427,21079779,79,2857758,3137837,7.84,5.74,1.74,0,2583,1878331,0.155
"27137","High income","OWID_HIC",2021,2021-02-09,98928105,71853444,22438399,82,3623857,3221528,8.14,5.91,1.85,0,2652,1933143,0.159
"27138","High income","OWID_HIC",2021,2021-02-10,103061635,74305903,23925500,82,4133530,3262706,8.48,6.12,1.97,0,2686,1955796,0.161
"27139","High income","OWID_HIC",2021,2021-02-11,107526944,76957090,25595849,85,4465309,3302149,8.85,6.33,2.11,0,2718,1978980,0.163
"27140","High income","OWID_HIC",2021,2021-02-12,111847890,79562921,27171401,90,4320946,3358323,9.21,6.55,2.24,0,2764,2014927,0.166
"27141","High income","OWID_HIC",2021,2021-02-13,114652978,81379128,28034825,90,2805088,3374472,9.44,6.7,2.31,0,2778,2017153,0.166
"27142","High income","OWID_HIC",2021,2021-02-14,116190607,82329585,28567669,90,1537629,3392017,9.56,6.78,2.35,0,2792,2041343,0.168
"27143","High income","OWID_HIC",2021,2021-02-15,118837920,84021585,29492220,90,2647313,3361953,9.78,6.92,2.43,0,2767,2041594,0.168
"27144","High income","OWID_HIC",2021,2021-02-16,122025503,85876877,30686110,106,3187583,3299628,10.04,7.07,2.53,0,2716,2003348,0.165
"27145","High income","OWID_HIC",2021,2021-02-17,125844187,88166270,32158498,107,3818684,3254650,10.36,7.26,2.65,0,2679,1980052,0.163
"27146","High income","OWID_HIC",2021,2021-02-18,129853029,90351601,33764964,108,4008842,3189441,10.69,7.44,2.78,0,2625,1913502,0.157
"27147","High income","OWID_HIC",2021,2021-02-19,133407829,92290736,35253127,110,3554800,3079991,10.98,7.6,2.9,0,2535,1818259,0.15
"27148","High income","OWID_HIC",2021,2021-02-20,135968842,93809592,36191943,114,2561013,3045123,11.19,7.72,2.98,0,2506,1775781,0.146
"27149","High income","OWID_HIC",2021,2021-02-21,137544614,94782705,36788716,119,1575772,3050572,11.32,7.8,3.03,0,2511,1779017,0.146
"27150","High income","OWID_HIC",2021,2021-02-22,140340354,96308978,37928716,123,2795740,3071776,11.55,7.93,3.12,0,2528,1755342,0.144
"27151","High income","OWID_HIC",2021,2021-02-23,144311434,100915562,41233517,126,3971080,3183704,11.88,8.31,3.39,0,2620,2148384,0.177
"27152","High income","OWID_HIC",2021,2021-02-24,148883161,103623504,42908642,129,4571727,3291282,12.25,8.53,3.53,0,2709,2208176,0.182
"27153","High income","OWID_HIC",2021,2021-02-25,153754106,106599039,44653499,133,4870945,3414440,12.66,8.77,3.68,0,2810,2321063,0.191
"27154","High income","OWID_HIC",2021,2021-02-26,158961455,109826207,46479147,137,5207349,3650518,13.08,9.04,3.83,0,3005,2505067,0.206
"27155","High income","OWID_HIC",2021,2021-02-27,162712260,112229265,47566642,140,3750805,3820488,13.39,9.24,3.92,0,3145,2631382,0.217
"27156","High income","OWID_HIC",2021,2021-02-28,164757355,113727434,48083169,156,2045095,3887534,13.56,9.36,3.96,0,3200,2706390,0.223
"27157","High income","OWID_HIC",2021,2021-03-01,168477656,116105018,49255952,160,3720301,4019615,13.87,9.56,4.05,0,3309,2828006,0.233
"27158","High income","OWID_HIC",2021,2021-03-02,172852899,118931860,50571968,167,4375243,4077352,14.23,9.79,4.16,0,3356,2573757,0.212
"27159","High income","OWID_HIC",2021,2021-03-03,178167551,122332477,52366878,168,5314652,4183484,14.66,10.07,4.31,0,3443,2672710,0.22
"27160","High income","OWID_HIC",2021,2021-03-04,184283014,126256095,54335754,174,6115463,4361273,15.17,10.39,4.47,0,3590,2808151,0.231
"27161","High income","OWID_HIC",2021,2021-03-05,189890676,129983046,56178831,180,5607662,4418460,15.63,10.7,4.62,0,3637,2879548,0.237
"27162","High income","OWID_HIC",2021,2021-03-06,194305411,132891363,57597308,183,4414735,4513307,15.99,10.94,4.74,0,3715,2951728,0.243
"27163","High income","OWID_HIC",2021,2021-03-07,196947616,134758297,58205004,183,2642205,4598609,16.21,11.09,4.79,0,3785,3004409,0.247
"27164","High income","OWID_HIC",2021,2021-03-08,201466798,137840085,59641638,187,4519182,4712735,16.58,11.35,4.91,0,3879,3105010,0.256
"27165","High income","OWID_HIC",2021,2021-03-09,206576841,141246133,61384167,207,5110043,4817706,17,11.63,5.05,0,3965,3187753,0.262
"27166","High income","OWID_HIC",2021,2021-03-10,212280368,144929435,63409567,215,5703527,4873260,17.47,11.93,5.22,0,4011,3228137,0.266
"27167","High income","OWID_HIC",2021,2021-03-11,218781614,149176070,65716781,217,6501246,4928371,18.01,12.28,5.41,0,4057,3274282,0.27
"27168","High income","OWID_HIC",2021,2021-03-12,225037008,153227982,67959832,217,6255394,5020905,18.52,12.61,5.59,0,4133,3320705,0.273
"27169","High income","OWID_HIC",2021,2021-03-13,229472172,156282118,69351614,221,4435164,5023823,18.89,12.86,5.71,0,4135,3341536,0.275
"27170","High income","OWID_HIC",2021,2021-03-14,232015451,158059862,70036001,224,2543279,5009691,19.1,13.01,5.76,0,4123,3328795,0.274
"27171","High income","OWID_HIC",2021,2021-03-15,237091381,161378322,71673116,227,5075930,5089226,19.51,13.28,5.9,0,4189,3362605,0.277
"27172","High income","OWID_HIC",2021,2021-03-16,242590447,164906636,73445461,231,5499066,5144801,19.97,13.57,6.05,0,4235,3380072,0.278
"27173","High income","OWID_HIC",2021,2021-03-17,248574312,168730311,75402667,236,5983865,5184849,20.46,13.89,6.21,0,4268,3400125,0.28
"27174","High income","OWID_HIC",2021,2021-03-18,254981509,172874970,77488401,241,6407197,5171414,20.99,14.23,6.38,0,4257,3385557,0.279
"27175","High income","OWID_HIC",2021,2021-03-19,261414103,177077028,79439119,244,6432594,5196728,21.52,14.58,6.54,0,4277,3407007,0.28
"27176","High income","OWID_HIC",2021,2021-03-20,265930465,180238845,80764302,246,4516362,5208328,21.89,14.84,6.65,0,4287,3422390,0.282
"27177","High income","OWID_HIC",2021,2021-03-21,268764498,182048648,81431438,247,2834033,5249864,22.12,14.98,6.7,0,4321,3426969,0.282
"27178","High income","OWID_HIC",2021,2021-03-22,274275862,185760627,83024996,255,5511364,5312069,22.58,15.29,6.83,0,4372,3483186,0.287
"27179","High income","OWID_HIC",2021,2021-03-23,280166990,189615686,84834942,261,5891128,5368078,23.06,15.61,6.98,0,4418,3529864,0.291
"27180","High income","OWID_HIC",2021,2021-03-24,287042351,193930826,87162208,266,6875361,5495434,23.63,15.96,7.17,0,4523,3600074,0.296
"27181","High income","OWID_HIC",2021,2021-03-25,294246081,198377847,89693376,272,7203730,5609225,24.22,16.33,7.38,0,4617,3643268,0.3
"27182","High income","OWID_HIC",2021,2021-03-26,301875206,203090326,92496404,279,7629125,5780158,24.85,16.72,7.61,0,4758,3716185,0.306
"27183","High income","OWID_HIC",2021,2021-03-27,306871704,206111044,94242426,281,4996498,5848748,25.26,16.96,7.76,0,4814,3696028,0.304
"27184","High income","OWID_HIC",2021,2021-03-28,310025468,208075048,95171361,285,3153764,5894424,25.52,17.13,7.83,0,4852,3718057,0.306
"27185","High income","OWID_HIC",2021,2021-03-29,316170739,211850605,97302592,293,6145271,5984982,26.02,17.44,8.01,0,4926,3727140,0.307
"27186","High income","OWID_HIC",2021,2021-03-30,323060279,215971119,99951662,306,6889540,6127613,26.59,17.78,8.23,0,5044,3765062,0.31
"27187","High income","OWID_HIC",2021,2021-03-31,330945094,220673472,103081390,315,7884815,6271820,27.24,18.16,8.48,0,5162,3820378,0.314
"27188","High income","OWID_HIC",2021,2021-04-01,339328985,225463165,106621235,328,8383891,6440415,27.93,18.56,8.78,0,5301,3869331,0.318
"27189","High income","OWID_HIC",2021,2021-04-02,345497758,229024688,109164461,338,6168773,6231793,28.44,18.85,8.99,0,5129,3704909,0.305
"27190","High income","OWID_HIC",2021,2021-04-03,350457473,232039696,111046022,347,4959715,6226538,28.85,19.1,9.14,0,5125,3704093,0.305
"27191","High income","OWID_HIC",2021,2021-04-04,352626975,233414374,111717991,349,2169502,6085930,29.02,19.21,9.2,0,5009,3619904,0.298
"27192","High income","OWID_HIC",2021,2021-04-05,357687310,236351654,113906474,363,5060335,5930939,29.44,19.45,9.38,0,4882,3500150,0.288
"27193","High income","OWID_HIC",2021,2021-04-06,365038071,240612005,117056316,393,7350761,5996827,30.05,19.8,9.63,0,4936,3520127,0.29
"27194","High income","OWID_HIC",2021,2021-04-07,373793659,246010074,120666624,419,8755588,6121224,30.77,20.25,9.93,0,5038,3619515,0.298
"27195","High income","OWID_HIC",2021,2021-04-08,383209193,251596345,124588772,439,9415534,6268601,31.54,20.71,10.25,0,5160,3733311,0.307
"27196","High income","OWID_HIC",2021,2021-04-09,391863790,256835449,128342231,507,8654597,6623719,32.25,21.14,10.56,0,5452,3972966,0.327
"27197","High income","OWID_HIC",2021,2021-04-10,398504100,261055129,131033101,524,6640310,6863804,32.8,21.49,10.79,0,5650,4145062,0.341
"27198","High income","OWID_HIC",2021,2021-04-11,402014125,263253856,132369510,530,3510025,7055307,33.09,21.67,10.9,0,5807,4262783,0.351
"27199","High income","OWID_HIC",2021,2021-04-12,408663160,267388084,135032822,581,6649035,7282264,33.64,22.01,11.11,0,5994,4433776,0.365
"27200","High income","OWID_HIC",2021,2021-04-13,416013808,271660703,137823406,681,7350648,7282248,34.24,22.36,11.34,0,5994,4435528,0.365
"27201","High income","OWID_HIC",2021,2021-04-14,423839857,276174300,140869966,890,7826049,7149457,34.89,22.73,11.59,0,5885,4309175,0.355
"27202","High income","OWID_HIC",2021,2021-04-15,432430370,281180823,144151393,1212,8590513,7031597,35.59,23.14,11.86,0,5788,4226354,0.348
"27203","High income","OWID_HIC",2021,2021-04-16,440352490,285609285,147362454,1549,7922120,6926957,36.25,23.51,12.13,0,5702,4110548,0.338
"27204","High income","OWID_HIC",2021,2021-04-17,446493182,289236782,149564552,1647,6140692,6855583,36.75,23.81,12.31,0,5643,4025950,0.331
"27205","High income","OWID_HIC",2021,2021-04-18,450932933,292072248,150972781,1691,4439751,6988401,37.12,24.04,12.43,0,5752,4116913,0.339
"27206","High income","OWID_HIC",2021,2021-04-19,457687046,296036950,153529112,2126,6754113,7003412,37.67,24.37,12.64,0,5764,4092695,0.337
"27207","High income","OWID_HIC",2021,2021-04-20,464774186,301532046,158170494,2665,7087140,6965768,38.26,24.82,13.02,0,5733,4267335,0.351
"27208","High income","OWID_HIC",2021,2021-04-21,473262470,306023693,161679890,3459,8488284,7060373,38.95,25.19,13.31,0,5811,4264199,0.351
"27209","High income","OWID_HIC",2021,2021-04-22,481779711,310639683,165256720,4236,8517241,7049906,39.65,25.57,13.6,0,5803,4208409,0.346
"27210","High income","OWID_HIC",2021,2021-04-23,489976090,315063699,168637896,4995,8196379,7089086,40.33,25.93,13.88,0,5835,4207773,0.346
"27211","High income","OWID_HIC",2021,2021-04-24,495606401,318239979,170950229,5219,5630311,7016174,40.79,26.19,14.07,0,5775,4143314,0.341
"27212","High income","OWID_HIC",2021,2021-04-25,500030640,321032917,172221925,5267,4424239,7013958,41.16,26.42,14.18,0,5773,4137238,0.341
"27213","High income","OWID_HIC",2021,2021-04-26,506193428,324329260,174799523,5791,6162788,6929483,41.66,26.7,14.39,0,5704,4041759,0.333
"27214","High income","OWID_HIC",2021,2021-04-27,514098365,328645471,178190586,6662,7904937,7046311,42.32,27.05,14.67,0,5800,3873346,0.319
"27215","High income","OWID_HIC",2021,2021-04-28,523007512,333438401,181955658,8016,8909147,7106435,43.05,27.45,14.98,0,5849,3916387,0.322
"27216","High income","OWID_HIC",2021,2021-04-29,531732372,339006577,186359421,9218,8724860,7136094,43.77,27.9,15.34,0,5874,4052413,0.334
"27217","High income","OWID_HIC",2021,2021-04-30,539451639,343244755,189610176,10281,7719267,7067936,44.4,28.25,15.61,0,5818,4025865,0.331
"27218","High income","OWID_HIC",2021,2021-05-01,545048231,346451776,191882018,10471,5596592,7063119,44.86,28.52,15.79,0,5814,4030257,0.332
"27219","High income","OWID_HIC",2021,2021-05-02,549141096,348821966,193499552,10554,4092865,7015779,45.2,28.71,15.93,0,5775,3969864,0.327
"27220","High income","OWID_HIC",2021,2021-05-03,554459816,351657507,195947364,11330,5318720,6895198,45.64,28.94,16.13,0,5675,3904035,0.321
"27221","High income","OWID_HIC",2021,2021-05-04,561765137,355240952,199222986,12557,7305321,6809539,46.24,29.24,16.4,0,5605,3799354,0.313
"27222","High income","OWID_HIC",2021,2021-05-05,570160400,359629828,203316823,13788,8395263,6736127,46.93,29.6,16.73,0,5544,3741632,0.308
"27223","High income","OWID_HIC",2021,2021-05-06,579168482,364296556,207472199,15352,9008082,6776587,47.67,29.98,17.08,0,5578,3612854,0.297
"27224","High income","OWID_HIC",2021,2021-05-07,587175470,368343117,211246557,16491,8006988,6817690,48.33,30.32,17.39,0,5612,3585480,0.295
"27225","High income","OWID_HIC",2021,2021-05-08,593194437,371538885,213958051,16781,6018967,6878029,48.83,30.58,17.61,0,5661,3583873,0.295
"27226","High income","OWID_HIC",2021,2021-05-09,597523687,374215702,215451393,17006,4329250,6911799,49.18,30.8,17.73,0,5689,3627677,0.299
"27227","High income","OWID_HIC",2021,2021-05-10,604651535,378065723,218656700,18122,7127848,7170246,49.77,31.12,18,0,5902,3772602,0.311
"27228","High income","OWID_HIC",2021,2021-05-11,612461132,382182265,222155649,19572,7809597,7242285,50.41,31.46,18.29,0,5961,3848759,0.317
"27229","High income","OWID_HIC",2021,2021-05-12,620700474,386563368,225867299,20996,8239342,7220011,51.09,31.82,18.59,0,5943,3847649,0.317
"27230","High income","OWID_HIC",2021,2021-05-13,628909991,391030129,229564387,21399,8209517,7105930,51.77,32.19,18.9,0,5849,3819082,0.314
"27231","High income","OWID_HIC",2021,2021-05-14,636794871,395434112,233026053,22440,7884880,7088486,52.41,32.55,19.18,0,5834,3870142,0.319
"27232","High income","OWID_HIC",2021,2021-05-15,643535686,399359438,235783698,22844,6740815,7191607,52.97,32.87,19.41,0,5919,3974365,0.327
"27233","High income","OWID_HIC",2021,2021-05-16,648713614,402286760,237546632,23000,5177928,7312847,53.4,33.11,19.55,0,6019,4010151,0.33
"27234","High income","OWID_HIC",2021,2021-05-17,655773086,406226030,240621806,24384,7059472,7303079,53.98,33.44,19.81,0,6011,4022901,0.331
"27235","High income","OWID_HIC",2021,2021-05-18,663783346,410721415,243996356,26192,8010260,7331745,54.64,33.81,20.08,0,6035,4077021,0.336
"27236","High income","OWID_HIC",2021,2021-05-19,672167729,415314277,247598079,28482,8384383,7352465,55.33,34.18,20.38,0,6052,4107273,0.338
"27237","High income","OWID_HIC",2021,2021-05-20,681474987,420326977,251756589,30610,9307258,7509285,56.09,34.6,20.72,0,6181,4185264,0.344
"27238","High income","OWID_HIC",2021,2021-05-21,689740412,424577417,255546110,32426,8265425,7563649,56.77,34.95,21.03,0,6226,4163329,0.343
"27239","High income","OWID_HIC",2021,2021-05-22,696394569,428181537,258589239,33056,6654157,7551269,57.32,35.24,21.28,0,6215,4117443,0.339
"27240","High income","OWID_HIC",2021,2021-05-23,701041327,430910183,260430482,33291,4646758,7475388,57.7,35.47,21.44,0,6153,4089060,0.337
"27241","High income","OWID_HIC",2021,2021-05-24,707421756,434653627,263117128,33866,6380429,7378381,58.23,35.78,21.66,0,6073,4061085,0.334
"27242","High income","OWID_HIC",2021,2021-05-25,714799569,438588483,266302270,35971,7377813,7288032,58.83,36.1,21.92,0,5999,3981010,0.328
"27243","High income","OWID_HIC",2021,2021-05-26,723231549,443109385,270083787,38032,8431980,7294831,59.53,36.47,22.23,0,6004,3970730,0.327
"27244","High income","OWID_HIC",2021,2021-05-27,732107968,448131535,273927079,40050,8876419,7233283,60.26,36.89,22.55,0,5954,3972080,0.327
"27245","High income","OWID_HIC",2021,2021-05-28,740197520,452676327,277475565,41838,8089552,7208158,60.93,37.26,22.84,0,5933,4014130,0.33
"27246","High income","OWID_HIC",2021,2021-05-29,746399118,456094752,280346630,42400,6201598,7143507,61.44,37.54,23.08,0,5880,3987602,0.328
"27247","High income","OWID_HIC",2021,2021-05-30,751116984,458618740,282406332,42562,4717866,7153665,61.82,37.75,23.24,0,5888,3958365,0.326
"27248","High income","OWID_HIC",2021,2021-05-31,757261265,462264006,284944789,43922,6144281,7119930,62.33,38.05,23.45,0,5860,3944340,0.325
"27249","High income","OWID_HIC",2021,2021-06-01,765571805,466956077,288642142,45864,8310540,7253177,63.01,38.43,23.76,0,5970,4052513,0.334
"27250","High income","OWID_HIC",2021,2021-06-02,774691897,472124460,292593639,47727,9120092,7351478,63.76,38.86,24.08,0,6051,4145011,0.341
"27251","High income","OWID_HIC",2021,2021-06-03,782880853,476696937,296171426,49405,8188956,7253269,64.44,39.24,24.38,0,5970,4080772,0.336
"27252","High income","OWID_HIC",2021,2021-06-04,790787801,481162104,299820386,51012,7906948,7227183,65.09,39.6,24.68,0,5949,4069397,0.335
"27253","High income","OWID_HIC",2021,2021-06-05,798104023,484979892,303432079,51641,7316222,7386415,65.69,39.92,24.98,0,6080,4126449,0.34
"27254","High income","OWID_HIC",2021,2021-06-06,804137461,488264548,306327226,51860,6033438,7574354,66.19,40.19,25.21,0,6234,4235115,0.349
"27255","High income","OWID_HIC",2021,2021-06-07,812347558,493179156,309965393,53222,8210097,7869470,66.86,40.59,25.51,0,6477,4416450,0.364
"27256","High income","OWID_HIC",2021,2021-06-08,821063170,497966340,314083109,54902,8715612,7927338,67.58,40.99,25.85,0,6525,4430038,0.365
"27257","High income","OWID_HIC",2021,2021-06-09,830603791,502891911,318728352,56559,9540621,7987413,68.37,41.39,26.23,0,6574,4395350,0.362
"27258","High income","OWID_HIC",2021,2021-06-10,840194613,507952248,323610018,58177,9590822,8187680,69.16,41.81,26.64,0,6739,4465044,0.368
"27259","High income","OWID_HIC",2021,2021-06-11,848920662,512527458,327985121,59561,8726049,8304694,69.87,42.19,27,0,6836,4480765,0.369
"27260","High income","OWID_HIC",2021,2021-06-12,856572074,516691919,331589858,60061,7651412,8352579,70.5,42.53,27.29,0,6875,4530290,0.373
"27261","High income","OWID_HIC",2021,2021-06-13,862841877,519775046,334751881,60275,6269803,8386345,71.02,42.78,27.55,0,6903,4501500,0.371
"27262","High income","OWID_HIC",2021,2021-06-14,870913044,523810869,339006966,61615,8071167,8366498,71.68,43.11,27.9,0.01,6886,4375959,0.36
